Cereal Name;Manufacturer;Type;Calories;Protein (g);Fat;Sodium;Dietary Fiber;Carbs;Sugars;Display Shelf;Potassium;Vitamins and Minerals;Serving Size Weight;Cups per Serving;Rating
Honey-comb;Post;C;110;1;0;180;0;14;11;1;35;25;1;1,33;28,742414
Just_Right_Crunchy__Nuggets;Kelloggs;C;110;2;1;170;1;17;6;3;60;100;1;-1;36,523683
Just_Right_Fruit_&_Nut;Kelloggs;C;140;3;1;170;2;20;9;3;95;100;1,3;0,75;36,471512
Kix;General Mills;C;110;2;1;260;0;21;3;2;40;25;1;1,5;39,241114
Life;Quaker Oats;C;100;4;2;150;2;12;6;2;95;25;1;0,67;45,328074
Lucky_Charms;General Mills;C;110;2;1;180;0;12;12;2;55;25;1;1;26,734515
Maypo;American Home Food Products;H;100;4;1;0;0;16;3;2;95;25;1;-1;54,850917
Mueslix_Crispy_Blend;Kelloggs;C;160;3;2;150;3;17;13;3;160;25;1,5;0,67;30,313351
Multi-Grain_Cheerios;General Mills;C;100;2;1;220;2;15;6;1;90;25;1;1;40,105965
Nut&Honey_Crunch;Kelloggs;C;120;2;1;190;0;15;9;2;40;25;1;0,67;29,924285
Nutri-Grain_Almond-Raisin;Kelloggs;C;140;3;2;220;3;21;7;3;130;25;1,33;0,67;4,069232
Nutri-grain_Wheat;Kelloggs;C;90;3;0;170;3;18;2;3;90;25;1;-1;59,642837
Oatmeal_Raisin_Crisp;General Mills;C;130;3;2;170;1,5;13,5;10;3;120;25;1,25;0,5;30,450843
Post_Nat,_Raisin_Bran;Post;C;120;3;1;200;6;11;14;3;260;25;1,33;0,67;37,840594
Product_19;Kelloggs;C;100;3;0;320;1;20;3;3;45;100;1;1;4,150354
Puffed_Rice;Quaker Oats;C;50;1;0;0;0;13;0;3;15;0;0,5;1;60,756112
Puffed_Wheat;Quaker Oats;C;50;2;0;0;1;10;0;3;50;0;0,5;-1;63,005645
Quaker_Oat_Squares;Quaker Oats;C;100;4;1;135;2;14;6;3;110;25;1;0,5;49,511874
Quaker_Oatmeal;Quaker Oats;H;100;5;2;0;2,7;-1;-1;1;110;0;1;0,67;50,828392
Raisin_Bran;Kelloggs;C;120;3;1;210;5;14;12;2;240;25;1,33;0,75;39,259197
Raisin_Nut_Bran;General Mills;C;100;3;2;140;2,5;10,5;8;3;140;25;1;0,5;0,397034
Raisin_Squares;Kelloggs;C;90;2;0;0;2;15;6;3;110;25;1;0,5;55,333142
Rice_Chex;Ralston Purina;C;110;1;0;240;0;23;2;1;30;25;1;1,13;41,998933
Rice_Krispies;Kelloggs;C;110;2;0;290;0;22;3;1;35;25;1;1;40,560159
Shredded_Wheat;Nabisco;C;80;2;0;0;3;16;0;1;95;0;0,83;-1;68,235885
Shredded_Wheat_'n'Bran;Nabisco;C;90;3;0;0;4;19;0;1;140;0;1;0,67;74,472949
Shredded_Wheat_spoon_size;Nabisco;C;90;3;0;0;3;20;0;1;120;0;1;0,67;72,801787
Smacks;Kelloggs;C;110;2;1;70;1;9;15;2;40;25;1;0,75;31,230054
Special_K;Kelloggs;C;110;6;0;230;1;16;3;1;55;25;1;1;53,131324
Strawberry_Fruit_Wheats;Nabisco;C;90;2;0;15;3;15;5;2;90;25;1;-1;59,363993
Total_Corn_Flakes;General Mills;C;110;2;1;200;0;21;3;3;35;100;1;1;38,839746
Total_Raisin_Bran;General Mills;C;140;3;1;190;4;15;14;3;230;100;1,5;1;28,592785
Total_Whole_Grain;General Mills;C;100;3;1;200;3;16;3;3;110;100;1;1;46,658844
Triples;General Mills;C;110;2;1;250;0;21;3;3;60;25;1;0,75;39,106174
Trix;General Mills;C;110;1;1;140;0;13;12;2;25;25;1;1;27,753301
Wheat_Chex;Ralston Purina;C;100;3;1;230;3;17;3;1;115;25;1;0,67;49,787445
Wheaties;General Mills;C;100;3;1;200;3;17;3;1;110;25;1;1;51,592193
Wheaties_Honey_Gold;General Mills;C;110;2;1;200;1;16;8;1;60;25;1;0,75;36,187559
